"YEAR","Level","SYS_SCH","RESA_NAME","SYSTEMID","SYSTEMNAME","SCHOOLNAME","SCHOOLID","SCHOOL_CODE_CHANGE_IND","Cluster","WEBSITE","PHONE_NUMBER","STREET","CITY","STATE","ZIP_CODE","TOTAL_ENROLL","GRADES","SSAS","SINGLESCORE","PCT_ASIAN","PCT_NATIVE","PCT_BLACK","PCT_HISPANIC","PCT_MULTI","PCT_WHITE","PCT_ED","PCT_SWD","PCT_LEP","CONTENT_MASTERYE","PROGRESSE","CLOSING_GAPE","READINESSE","CCRPISCOREE","THIRD_GRADE_READING","FIFTH_GRADE_READING","CONTENT_MASTERYM","PROGRESSM","CLOSING_GAPM","READINESSM","CCRPISCOREM","EIGHTH_GRADE_READING","CONTENT_MASTERYH","PROGRESSH","CLOSING_GAPH","READINESSH","GRADUATION_RATEH","CCRPISCOREH","ENGLISH_BEGH","ENGLISH_DEVH","ENGLISH_PROFH","ENGLISH_DISTH","MATH_BEGH","MATH_DEVH","MATH_PROFH","MATH_DISTH","SCIENCE_BEGH","SCIENCE_DEVH","SCIENCE_PROFH","SCIENCE_DISTH","SOC_BEGH","SOC_DEVH","SOC_PROFH","SOC_DISTH","COLLEGE_READINESS","ACCELERATED_COURSE_TAKING","FOUR_YEAR_GRADUATION_RATE","ENGLISH_BEGE","ENGLISH_DEVE","ENGLISH_PROFE","ENGLISH_DISTE","MATH_BEGE","MATH_DEVE","MATH_PROFE","MATH_DISTE","SCIENCE_BEGE","SCIENCE_DEVE","SCIENCE_PROFE","SCIENCE_DISTE","SOC_BEGE","SOC_DEVE","SOC_PROFE","SOC_DISTE","ENGLISH_BEGM","ENGLISH_DEVM","ENGLISH_PROFM","ENGLISH_DISTM","MATH_BEGM","MATH_DEVM","MATH_PROFM","MATH_DISTM","SCIENCE_BEGM","SCIENCE_DEVM","SCIENCE_PROFM","SCIENCE_DISTM","SOC_BEGM","SOC_DEVM","SOC_PROFM","SOC_DISTM","COLLEGEENROLLMENT","FINANCIALEFFICIENCY","SCHOOLCLIMATE","MOBILITY","PPE"
"2022","SCHOOL","6470205","Southwest Georgia RESA","647","Dougherty County","Lincoln Elementary Magnet School","0205","N","E","https://www.docoschools.org/","229.431.3373","518 W Society Ave","Albany","GA","31701-2233","458","KK, 01, 02, 03, 04, 05","","",".2","0","98.3",".7",".4",".4",48.4,2,0.9,"55.6","TFS","","74.1","","42.3","62.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","37.8","34.2","5","29.7","50.4","19.4",".5","16.3","33.7","40.7","9.3","","","","","","","","","","","","","","","","","","","","","","","","2.2","14004.23"
"2023","SCHOOL","6470205","Southwest Georgia RESA","647","Dougherty County","Lincoln Elementary Magnet School","0205","N","E","https://www.docoschools.org/","229.431.3373","518 W Society Ave","Albany","GA","31701-2233","437","KK, 01, 02, 03, 04, 05","","82.1",".5","0","96.6","1.1","1.1",".7",54.7,1.8,0.9,"65.6","91.5","77.8","93.7","82.1","50.5","58.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.6","38.9","37.6","7","10","52.8","32.8","4.4","24.2","35.5","38.7","1.6","","","","","","","","","","","","","","","","","","","","","","","","4","15592.86"
"2024","SCHOOL","6470205","Southwest Georgia RESA","647","Dougherty County","Lincoln Elementary Magnet School","0205","N","E","https://www.docoschools.org/","229.431.3373","518 W Society Ave","Albany","GA","31701-2233","433","KK, 01, 02, 03, 04, 05","","83.2",".5","0","95.8","1.2","1.6",".9",78.5,2.3,0.9,"73","79.2","100","93.1","83.2","36.5","75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.4","38.3","35.9","11.5","9.6","47.4","34.9","8.1","6.3","35.9","46.9","10.9","","","","","","","","","","","","","","","","","","","","","","3","4","3.6","15614.75"
"2025","SCHOOL","6470205","Southwest Georgia RESA","647","Dougherty County","Lincoln Elementary Magnet School","0205","N","E","https://www.docoschools.org/","229.431.3373","518 W Society Ave","Albany","GA","31701-2233","409","PK, KK, 01, 02, 03, 04, 05","","89.2",".5","0","95.4","1.2","2","1",73.2,2.2,1,"82.8","85.7","100","96.7","89.2","57.8","67.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.2","39.2","40.9","12.7","3.3","42","44.2","10.5","3.4","23.6","47.2","25.8","","","","","","","","","","","","","","","","","","","","","","0.0","","1.7",""
"2018","SCHOOL","6470299","Southwest Georgia RESA","647","Dougherty County","Alice Coachman Elementary School","0299","N","E","https://www.docoschools.org/","(229)431-3488","1425 W Oakridge Dr","Albany","GA","31707","556","PK, KK, 01, 02, 03, 04, 05","","47.5","0","0","93","2","1","4",87.3,9,1,"27.9","62.2","25","68.1","47.5","7","21.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.1","29.9","6","0","35.9","53","11.1","0","67.6","28.2","4.2","0","46.5","47.9","5.6","0","","","","","","","","","","","","","","","","","","","4","25.7",""
"2019","SCHOOL","6470299","Southwest Georgia RESA","647","Dougherty County","Alice Coachman Elementary School","0299","N","E","https://www.docoschools.org/","229.431.3488","1425 Oakridge Dr","Albany","GA","31707","564","PK, KK, 01, 02, 03, 04, 05","","57.7","0","0","94","1","1","4",83.5,10,1,"29.8","68.9","71.4","69.5","57.7","9.4","27.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.1","32.2","7.6","1.1","45.8","42","10.6","1.5","59.1","26.1","14.8","0","40.9","54.5","4.5","0","","","","","","","","","","","","","","","","","","1.5","5","28","10570.19"
"2020","SCHOOL","6470299","Southwest Georgia RESA","647","Dougherty County","Alice Coachman Elementary School","0299","N","E","https://www.docoschools.org/","229.431.3488","1425 Oakridge Dr","Albany","GA","31707","536","PK, KK, 01, 02, 03, 04, 05","","","0","0","94","1","1","5",86,11.3,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.6","11461.04"
"2021","SCHOOL","6470299","Southwest Georgia RESA","647","Dougherty County","Alice Coachman Elementary School","0299","N","E","https://www.docoschools.org/","229.431.3488","1425 Oakridge Dr","Albany","GA","31707","515","PK, KK, 01, 02, 03, 04, 05","","","0","0","95","0","1","4",91.7,11.5,0,"","","","","","7.9","15.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.2","17.7","2.2","0","81.6","18.4","0","0","79","16.1","4.8","0","","","","","","","","","","","","","","","","","","","","","","","","13.5","12812.92"
"2022","SCHOOL","6470299","Southwest Georgia RESA","647","Dougherty County","Alice Coachman Elementary School","0299","N","E","https://www.docoschools.org/","229.431.3488","1425 W Oakridge Dr","Albany","GA","31707-5306","491","PK, KK, 01, 02, 03, 04, 05","","",".2","0","94.9",".4","1.2","3.3",78.4,13.2,0.2,"24.1","","","56.9","","7","25.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.1","27.2","6.2",".5","56.4","34.4","9.2","0","61.1","23.6","13.9","1.4","","","","","","","","","","","","","","","","","","","","","","","","20.7","15481.25"
"2023","SCHOOL","6470299","Southwest Georgia RESA","647","Dougherty County","Alice Coachman Elementary School","0299","N","E","https://www.docoschools.org/","229.431.3488","1425 W Oakridge Dr","Albany","GA","31707-5306","434","PK, KK, 01, 02, 03, 04, 05","","66.4",".5","0","92.9","1.6","1.6","3.5",86,12.9,0.7,"29.2","83.1","100","67.3","66.4","14.8","27.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.8","24.3","10.7","1.1","47.5","41.2","10.7",".6","50.7","31.9","15.9","1.5","","","","","","","","","","","","","","","","","","","","","","","","16.2","17574.59"
"2024","SCHOOL","6470299","Southwest Georgia RESA","647","Dougherty County","Alice Coachman Elementary School","0299","N","E","https://www.docoschools.org/","229.431.3488","1425 W Oakridge Dr","Albany","GA","31707-5306","458","PK, KK, 01, 02, 03, 04, 05","","62.9",".4","0","91.3","2.2","1.3","4.8",93.4,16.4,0.7,"31","85.8","64.3","70.2","62.9","23.7","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.9","29.2","10.4","1.6","43.2","40.6","13.5","2.6","72.2","16.7","7.4","3.7","","","","","","","","","","","","","","","","","","","","","","1.5","4","15.1","17054.75"
"2025","SCHOOL","6470299","Southwest Georgia RESA","647","Dougherty County","Alice Coachman Elementary School","0299","N","E","https://www.docoschools.org/","229.431.3488","1425 W Oakridge Dr","Albany","GA","31707-5306","465","PK, KK, 01, 02, 03, 04, 05","","72.7",".2","0","92.9","2.2","1.3","3.4",94.1,19.1,0.6,"39.4","88","100","75.3","72.7","9.9","28.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.9","29.1","14.1","1.9","36.4","45.2","15.1","3.4","35.4","30.8","27.7","6.2","","","","","","","","","","","","","","","","","","","","","","0.0","","21",""
"2018","SCHOOL","6470399","Southwest Georgia RESA","647","Dougherty County","Martin Luther King, Jr. Elementary School","0399","N","E","https://www.docoschools.org/","(229)438-3502","3125 Martin Luther King Jr Dr","Albany","GA","31701","635","PK, KK, 01, 02, 03, 04, 05","","51.0","0","0","95","1","1","3",85.7,15,0,"30.5","60.2","46.4","69","51.0","18.8","25.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.7","34.7","11.6","0","45.2","40.9","13.5",".4","60.6","33.8","5.6","0","45.1","47.9","7","0","","","","","","","","","","","","","","","","","","","3","22.9",""
"2019","SCHOOL","6470399","Southwest Georgia RESA","647","Dougherty County","Martin Luther King, Jr. Elementary School","0399","N","E","https://www.docoschools.org/","(229) 438-3502","3125 Martin Luther King Jr Dr","Albany","GA","31701","548","PK, KK, 01, 02, 03, 04, 05","","45.9","0","0","96","0","1","2",84.1,14,0,"26.3","65.6","10.7","67.3","45.9","14.4","19.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.5","33.6","5.1",".8","49.4","39.9","9.5","1.2","63","26","11","0","63","35.6","1.4","0","","","","","","","","","","","","","","","","","",".5","2","18.6","13486.99"
"2020","SCHOOL","6470399","Southwest Georgia RESA","647","Dougherty County","Martin Luther King, Jr. Elementary School","0399","N","E","https://www.docoschools.org/","(229) 438-3502","3125 Martin Luther King Jr Dr","Albany","GA","31701","505","PK, KK, 01, 02, 03, 04, 05","","","0","0","96","0","2","2",84.3,10.9,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.3","14132.77"
"2021","SCHOOL","6470399","Southwest Georgia RESA","647","Dougherty County","Martin Luther King, Jr. Elementary School","0399","N","E","https://www.docoschools.org/","(229) 438-3502","3125 Martin Luther King Jr Dr","Albany","GA","31701","450","PK, KK, 01, 02, 03, 04, 05","","","0","0","95","1","2","2",88.5,12.5,0,"","","","","","13","7.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72","23.7","4.2","0","75.2","21.4","3.4","0","87.2","12.8","0","0","","","","","","","","","","","","","","","","","","","","","","","","13.8","16236.71"
"2022","SCHOOL","6470399","Southwest Georgia RESA","647","Dougherty County","Martin Luther King, Jr. Elementary School","0399","N","E","https://www.docoschools.org/","229.438.3502","3125 Martin Luther King Jr Dr","Albany","GA","31701-4309","425","PK, KK, 01, 02, 03, 04, 05","","","0","0","95.5",".2","3.5",".7",76,14.1,0,"22.4","","","57.2","","9.8","21.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.4","27.4","8.6",".5","69","25","5.4",".5","55.4","31.1","9.5","4.1","","","","","","","","","","","","","","","","","","","","","","","","18","15420.11"
"2023","SCHOOL","6470399","Southwest Georgia RESA","647","Dougherty County","Martin Luther King, Jr. Elementary School","0399","N","E","https://www.docoschools.org/","229.438.3502","3125 Martin Luther King Jr Dr","Albany","GA","31701-4309","412","PK, KK, 01, 02, 03, 04, 05","","67.7",".2","0","95.9",".7","2.7",".5",82.6,15,0,"31.8","86.6","95.5","67.9","67.7","21.3","20.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.1","30.1","6.8","3.1","43.9","41.5","14",".6","50","28.8","19.7","1.5","","","","","","","","","","","","","","","","","","","","","","","","21.1","17763.43"
"2024","SCHOOL","6470399","Southwest Georgia RESA","647","Dougherty County","Martin Luther King, Jr. Elementary School","0399","N","E","https://www.docoschools.org/","229.438.3502","3125 Martin Luther King Jr Dr","Albany","GA","31701-4309","459","PK, KK, 01, 02, 03, 04, 05","","51.5",".4","0","94.3",".9","3.3","1.1",93.1,15.9,0,"31.9","71.7","21.4","68.1","51.5","32.6","9.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.3","27.4","10.3","2.1","43.5","39.5","13.6","3.4","60.8","25.5","13.7","0","","","","","","","","","","","","","","","","","","","","","","1","4","20.9","16509.37"
"2025","SCHOOL","6470399","Southwest Georgia RESA","647","Dougherty County","Martin Luther King, Jr. Elementary School","0399","N","E","https://www.docoschools.org/","229.438.3502","3125 Martin Luther King Jr Dr","Albany","GA","31701-4309","537","PK, KK, 01, 02, 03, 04, 05","","69.3",".6","0","95","1.5","2.4",".6",94.9,17.7,0.2,"38.1","82.5","100","69.9","69.3","15","33.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.8","28.9","12.7","3.6","35","46.2","15.2","3.6","54.2","20.3","20.3","5.1","","","","","","","","","","","","","","","","","","","","","","0.0","","15.1",""
"2022","SCHOOL","6470400","Southwest Georgia RESA","647","Dougherty County","South Georgia Regional Achievement Center, The Phoenix","0400","N","MH","https://www.docoschools.org/","229.431.1218","1800 Massey Drive","Albany","GA","31705","164","06, 07, 08, 09, 10, 11, 12","","","0","0","92.7","1.8","3","2.4",81.8,16.5,1.8,"","","","","","","","TFS","","","100","","14.3","TFS","","","TFS","NA","","","","","","","","","","","","","","","","","","","Too Few Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890.9","255517.98"
"2023","SCHOOL","6470400","Southwest Georgia RESA","647","Dougherty County","South Georgia Regional Achievement Center, The Phoenix","0400","N","MH","https://www.docoschools.org/","229.431.1218","1800 Massey Drive","Albany","GA","31705","231","06, 07, 08, 09, 10, 11, 12","","23.8","0","0","93.1",".4","3","3.5",68.1,22.1,0,"","","","","","","","9.4","TFS","NA","45.7","23.8","15.4","TFS","TFS","NA","25.5","","","N/A","N/A","N/A","N/A","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","TFS","TFS","","","","","","","","","","","","","","","","","","86.7","13.3","0","0","73.3","26.7","0","0","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","","","","500","10367"
"2024","SCHOOL","6470400","Southwest Georgia RESA","647","Dougherty County","South Georgia Regional Achievement Center, The Phoenix","0400","N","MH","https://www.docoschools.org/","229.431.1218","1800 Massey Drive","Albany","GA","31705","242","06, 07, 08, 09, 10, 11, 12","","","0","0","98.3","0","1.2",".4",91.7,15.7,0,"","","","","","","","TFS","TFS","NA","57.4","","23.5","TFS","TFS","NA","38.8","TFS","","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","TFS","TFS","TFS","","","","","","","","","","","","","","","","","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","","","NA","407.4","8217.83"
"2025","SCHOOL","6470400","Southwest Georgia RESA","647","Dougherty County","South Georgia Regional Achievement Center, The Phoenix","0400","N","MH","https://www.docoschools.org/","229.431.1218","1800 Massey Drive","Albany","GA","31705","238","06, 07, 08, 09, 10, 11, 12","","N/A","0","0","95.8","1.7",".4","2.1",83.6,16.8,0,"","","","","","","","TFS","TFS","NA","58.1","N/A","0","TFS","TFS","NA","37.6","29.4","N/A","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","TFS","TFS","29.4","","","","","","","","","","","","","","","","","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","0.0","","405.5",""
"2018","SCHOOL","6471058","Southwest Georgia RESA","647","Dougherty County","Monroe High School","1058","N","H","https://www.docoschools.org/","(229)431-3316","900 Lippitt Dr","Albany","GA","31701","1274","09, 10, 11, 12","","62.2","0","0","97","1","1","1",61.1,11,1,"","","","","","","","","","","","","","35.1","76.7","66.7","60.3","86.3","62.2","49.1","32.3","17.9",".7","47.3","46.2","6.4","0","53.8","26.4","19.2",".6","49.8","30.9","18.2","1.1","51.7","27.1","86.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","17.5",""
"2019","SCHOOL","6471058","Southwest Georgia RESA","647","Dougherty County","Monroe Comprehensive High School","1058","N","H","https://www.docoschools.org/","(229) 431-3316","900 Lippitt Dr","Albany","GA","31701","1180","09, 10, 11, 12","","64.8","0","0","97","1","1","1",57.4,11,1,"","","","","","","","","","","","","","39.2","77.1","68.8","66.8","86.8","64.8","52.2","38.2","8.8",".8","39.4","43.7","16.9","0","43.4","36.8","18.2","1.7","58.7","35.5","5.8","0","51.3","70.2","86.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.84","1.5","4","16","11397.4"
"2020","SCHOOL","6471058","Southwest Georgia RESA","647","Dougherty County","Monroe High School","1058","N","H","https://www.docoschools.org/","(229) 431-3316","900 Lippitt Dr","Albany","GA","31701","1155","09, 10, 11, 12","","","0","0","96","1","1","1",59.9,13.5,1,"","","","","","","","","","","","","","","","","","79.6","","","","","","","","","","","","","","","","","","","","79.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.15","","","12","11797.31"
"2021","SCHOOL","6471058","Southwest Georgia RESA","647","Dougherty County","Monroe High School","1058","N","H","https://www.docoschools.org/","(229) 431-3316","900 Lippitt Dr","Albany","GA","31701","1131","09, 10, 11, 12","","","0","0","95","2","1","2",63.5,13.9,1,"","","","","","","","","","","","","","","","","","","","76.7","17.4","5.8","0","87.3","11.8","1","0","73.6","15.1","11.3","0","45.2","17.2","16.1","21.5","44.9","45.5","79.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.49","","","8.2","12375.86"
"2022","SCHOOL","6471058","Southwest Georgia RESA","647","Dougherty County","Monroe High School","1058","N","H","https://www.docoschools.org/","229.431.3316","900 Lippitt Dr","Albany","GA","31701-3511","1189","09, 10, 11, 12","","",".4",".1","94.6","2.2",".7","2",54,13.9,1.3,"","","","","","","","","","","","","","27.5","TFS","","70.8","82.9","","48.3","37.3","11.4","3","73.1","18.6","6.3","2","56.1","27.2","13","3.8","60.5","23.8","9.9","5.8","","50.2","83.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.5","23.8","9.9","5.8","51.54","","","15.2","14052.8"
"2023","SCHOOL","6471058","Southwest Georgia RESA","647","Dougherty County","Monroe High School","1058","N","H","https://www.docoschools.org/","229.431.3316","900 Lippitt Dr","Albany","GA","31701-3511","1159","09, 10, 11, 12","","55.1",".3","0","94","3.1",".9","1.6",61.7,14.2,1.5,"","","","","","","","","","","","","","31","66","43.8","60","83.8","55.1","53.9","34.8","9","2.3","71.3","24.2","3.5","1","46.4","31.5","21.4",".7","40.9","40.5","12.1","6.5","45.1","61.7","82.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.55","","","17.7","16093.46"
"2024","SCHOOL","6471058","Southwest Georgia RESA","647","Dougherty County","Monroe High School","1058","N","H","https://www.docoschools.org/","229.431.3316","900 Lippitt Dr","Albany","GA","31701-3511","1267","09, 10, 11, 12","","74.2",".2",".1","93.1","3.2","1.1","2.3",82.3,13.3,1,"","","","","","","","","","","","","","41.3","100","100","59.5","86.3","74.2","49.6","36.6","10.2","3.7","38.2","39.1","17.2","5.5","50.9","23.3","21.2","4.6","36.6","31.9","21.2","10.4","51.5","47.8","88.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.58","2","1","15","14268.12"
"2025","SCHOOL","6471058","Southwest Georgia RESA","647","Dougherty County","Monroe High School","1058","N","H","https://www.docoschools.org/","229.431.3316","900 Lippitt Dr","Albany","GA","31701-3511","1277","09, 10, 11, 12","","68.0",".2",".2","93.3","3.2","1.3","1.8",78.6,13.2,0.9,"","","","","","","","","","","","","","43.7","81.4","73.3","65.7","88.7","68.0","45.8","33.6","19.5","1.2","36.8","42.5","15","5.7","45.7","27.8","21","5.5","40.4","31.1","18.9","9.6","54","69.8","88.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","15",""
"2018","SCHOOL","6472052","Southwest Georgia RESA","647","Dougherty County","Dougherty Comprehensive High School","2052","N","H","https://www.docoschools.org/","(229)431-3310","1800 Pearce Ave","Albany","GA","31705","1331","09, 10, 11, 12","","71.5","0","2","91","3","1","3",60.7,9,3,"","","","","","","","","","","","","","45.9","87.2","100","59.5","84.6","71.5","33.1","40.8","25.4",".7","41.1","44.9","13.6",".4","44.7","31.8","23.5","0","26.8","28.5","37.8","6.9","24.6","34.1","85.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","19.1",""
"2019","SCHOOL","6472052","Southwest Georgia RESA","647","Dougherty County","Dougherty Comprehensive High School","2052","N","H","https://www.docoschools.org/","(229) 431-3310","1800 Pearce Ave","Albany","GA","31705","1201","09, 10, 11, 12","","62.2","0","2","91","4","1","3",56.1,11,2,"","","","","","","","","","","","","","47.6","68.1","52.9","62.8","85.4","62.2","39.5","46","14.5","0","41.9","42.9","15.2","0","55.6","30.5","13.4",".5","26.9","40.6","26.9","5.6","39.9","61.8","85.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.94","2","4","16.8","11329.51"
"2020","SCHOOL","6472052","Southwest Georgia RESA","647","Dougherty County","Dougherty Comprehensive High School","2052","N","H","https://www.docoschools.org/","(229) 431-3310","1800 Pearce Ave","Albany","GA","31705","1166","09, 10, 11, 12","","","0","1","90","4","2","3",56,11.1,2,"","","","","","","","","","","","","","","","","","82.9","","","","","","","","","","","","","","","","","","","","82.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.98","","","13.9","11952.09"
"2021","SCHOOL","6472052","Southwest Georgia RESA","647","Dougherty County","Dougherty Comprehensive High School","2052","N","H","https://www.docoschools.org/","(229) 431-3310","1800 Pearce Ave","Albany","GA","31705","1150","09, 10, 11, 12","","","0","1","90","4","2","3",60.4,13.1,1,"","","","","","","","","","","","","","","","","","","","75","10.9","10.9","3.1","93.7","6.3","0","0","79.4","18.6","2","0","77.4","20.3","2.3","0","35.7","39.3","89.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.26","","","6.4","12307.96"
"2022","SCHOOL","6472052","Southwest Georgia RESA","647","Dougherty County","Dougherty Comprehensive High School","2052","N","H","https://www.docoschools.org/","229.431.3310","1800 Pearce Ave","Albany","GA","31705-3339","1190","09, 10, 11, 12","","",".2",".6","90.3","5","1.8","2.3",50,14.5,1.6,"","","","","","","","","","","","","","25.7","TFS","","58","85.9","","62.8","29.3","7.9","0","70.8","23.9","5.3","0","55.1","28.1","15.6","1.1","49.1","29.3","16.5","5.1","","32.3","83.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.1","29.3","16.5","5.1","52.57","","","15.6","13482.48"
"2023","SCHOOL","6472052","Southwest Georgia RESA","647","Dougherty County","Dougherty Comprehensive High School","2052","N","H","https://www.docoschools.org/","229.431.3310","1800 Pearce Ave","Albany","GA","31705-3339","1291","09, 10, 11, 12","","61.3",".2",".4","89.9","5.2","1.6","2.8",58.8,13,2.2,"","","","","","","","","","","","","","33.2","67.1","100","54.8","86.5","61.3","50","37.3","11.4","1.3","46.2","43.1","9.3","1.4","44.3","32.1","19.3","4.3","46.3","41.7","11.1","1","30.2","48.4","87.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.14","","","17.5","15765.31"
"2024","SCHOOL","6472052","Southwest Georgia RESA","647","Dougherty County","Dougherty Comprehensive High School","2052","N","H","https://www.docoschools.org/","229.431.3310","1800 Pearce Ave","Albany","GA","31705-3339","1290","09, 10, 11, 12","","67.2",".1",".3","90.2","6.1","1.3","2",80.6,13.2,2.6,"","","","","","","","","","","","","","40.5","88.3","57.7","63.3","88.2","67.2","45.9","36.5","16.3","1.3","30.6","42.2","23.1","4.1","40.9","31.7","24.8","2.6","47.6","39.7","10.8","1.9","43.1","70.8","88.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.13","2","3","20","14628.58"
"2025","SCHOOL","6472052","Southwest Georgia RESA","647","Dougherty County","Dougherty Comprehensive High School","2052","N","H","https://www.docoschools.org/","229.431.3310","1800 Pearce Ave","Albany","GA","31705-3339","1283","09, 10, 11, 12","","65.0",".1",".2","90","6.5","1.4","1.8",76.9,12.9,3,"","","","","","","","","","","","","","41.7","69.5","80.6","68.7","88.4","65.0","44.7","39.3","15","1","25.7","47.1","25.4","1.8","47.5","35.4","15.3","1.8","44.8","26.9","22.4","6","59.2","84.3","88.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","19",""
"2018","SCHOOL","6472058","Southwest Georgia RESA","647","Dougherty County","Morningside Elementary School","2058","N","E","https://www.docoschools.org/","(229)431-3387","120 Sunset Ln","Albany","GA","31705","490","PK, KK, 01, 02, 03, 04, 05","","65.0","0","0","92","3","1","3",90.1,9,3,"32.8","87.4","78.6","63.7","65.0","10.1","23.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.5","40.8","9.7","0","30.1","56.1","12.2","1.5","72.2","24.1","3.7","0","48.1","46.3","5.6","0","","","","","","","","","","","","","","","","","","","4","27.6",""
"2019","SCHOOL","6472058","Southwest Georgia RESA","647","Dougherty County","Morningside Elementary School","2058","N","E","https://www.docoschools.org/","(229) 431-3387","120 Sunset Ln","Albany","GA","31705","491","PK, KK, 01, 02, 03, 04, 05","","62.9","0","0","92","3","1","4",91.4,9,3,"34.6","81.1","67.9","69.6","62.9","17.5","41.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.8","35","10.7",".4","29.6","54.9","14.6",".9","63.5","34.9","1.6","0","41.3","55.6","3.2","0","","","","","","","","","","","","","","","","","","2","3","21.5","11217.92"
"2020","SCHOOL","6472058","Southwest Georgia RESA","647","Dougherty County","Morningside Elementary School","2058","N","E","https://www.docoschools.org/","(229) 431-3387","120 Sunset Ln","Albany","GA","31705","444","PK, KK, 01, 02, 03, 04, 05","","","0","0","93","3","1","3",89.1,9,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.2","12231.29"
"2021","SCHOOL","6472058","Southwest Georgia RESA","647","Dougherty County","Morningside Elementary School","2058","N","E","https://www.docoschools.org/","(229) 431-3387","120 Sunset Ln","Albany","GA","31705","355","PK, KK, 01, 02, 03, 04, 05","","","0","0","91","3","2","3",90.4,10.9,2,"","","","","","20","10.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.5","21.7","3.8","0","72.1","24","3.9","0","71.1","26.3","2.6","0","","","","","","","","","","","","","","","","","","","","","","","","14.9","14631.14"
