"YEAR","Level","SYS_SCH","RESA_NAME","SYSTEMID","SYSTEMNAME","SCHOOLNAME","SCHOOLID","SCHOOL_CODE_CHANGE_IND","Cluster","WEBSITE","PHONE_NUMBER","STREET","CITY","STATE","ZIP_CODE","TOTAL_ENROLL","GRADES","SSAS","SINGLESCORE","THIRD_GRADE_READING","FIFTH_GRADE_READING","EIGHTH_GRADE_READING","COLLEGE_READINESS","ACCELERATED_COURSE_TAKING","FOUR_YEAR_GRADUATION_RATE","COLLEGEENROLLMENT"
"2020","SCHOOL","6330278","Metro RESA","633","Cobb County","Mount Bethel Elementary School","0278","N","E","http://www.cobbk12.org/","770-578-7248","1210 Johnson Ferry Road","Marietta","GA","30068","1128","KK, 01, 02, 03, 04, 05","","","","","","","","",""
"2021","SCHOOL","6330278","Metro RESA","633","Cobb County","Mount Bethel Elementary School","0278","N","E","http://www.cobbk12.org/","770-578-7248","1210 Johnson Ferry Road","Marietta","GA","30068","1000","PK, KK, 01, 02, 03, 04, 05","","","85","91","","","","",""
"2022","SCHOOL","6330278","Metro RESA","633","Cobb County","Mount Bethel Elementary School","0278","N","E","http://www.cobbk12.org/","770.578.7248","1210 Johnson Ferry Rd","Marietta","GA","30068-2719","1023","PK, KK, 01, 02, 03, 04, 05","","","86.1","85.3","","","","",""
"2023","SCHOOL","6330278","Metro RESA","633","Cobb County","Mount Bethel Elementary School","0278","N","E","http://www.cobbk12.org/","770.578.7248","1210 Johnson Ferry Rd","Marietta","GA","30068-2719","961","PK, KK, 01, 02, 03, 04, 05","","98.7","83.1","92.3","","","","",""
"2024","SCHOOL","6330278","Metro RESA","633","Cobb County","Mount Bethel Elementary School","0278","N","E","http://www.cobbk12.org/","770.578.7248","1210 Johnson Ferry Rd","Marietta","GA","30068-2719","928","PK, KK, 01, 02, 03, 04, 05","","97.9","81.5","89.4","","","","",""
"2025","SCHOOL","6330278","Metro RESA","633","Cobb County","Mount Bethel Elementary School","0278","N","E","http://www.cobbk12.org/","770.578.7248","1210 Johnson Ferry Rd","Marietta","GA","30068-2719","905","PK, KK, 01, 02, 03, 04, 05","","97.1","75.7","90.6","","","","",""
"2018","SCHOOL","6330280","Metro RESA","633","Cobb County","Pine Mountain Middle School","0280","N","M","http://www.cobbk12.org/","(678)594-8252","2720 Pine Mountain Cir NW","Kennesaw","GA","30152","675","06, 07, 08","","69.4","","","65.7","","","",""
"2019","SCHOOL","6330280","Metro RESA","633","Cobb County","Pine Mountain Middle School","0280","N","M","http://www.cobbk12.org/","678-594-8252","2720 Pine Mountain Circle","Kennesaw","GA","30152","742","06, 07, 08","","79.4","","","74.5","","","",""
"2020","SCHOOL","6330280","Metro RESA","633","Cobb County","Pine Mountain Middle School","0280","N","M","http://www.cobbk12.org/","678-594-8252","2720 Pine Mountain Circle","Kennesaw","GA","30152","748","06, 07, 08","","","","","","","","",""
"2021","SCHOOL","6330280","Metro RESA","633","Cobb County","Pine Mountain Middle School","0280","N","M","http://www.cobbk12.org/","678-594-8252","2720 Pine Mountain Circle","Kennesaw","GA","30152","716","06, 07, 08","","","","","54.3","","","",""
"2022","SCHOOL","6330280","Metro RESA","633","Cobb County","Pine Mountain Middle School","0280","N","M","http://www.cobbk12.org/","678.594.8252","2720 Pine Mountain Cir NW","Kennesaw","GA","30152-4635","661","06, 07, 08","","","","","66.5","","","",""
"2023","SCHOOL","6330280","Metro RESA","633","Cobb County","Pine Mountain Middle School","0280","N","M","http://www.cobbk12.org/","678.594.8252","2720 Pine Mountain Cir NW","Kennesaw","GA","30152-4635","630","06, 07, 08","","79.5","","","66.7","","","",""
"2024","SCHOOL","6330280","Metro RESA","633","Cobb County","Pine Mountain Middle School","0280","N","M","http://www.cobbk12.org/","678.594.8252","2720 Pine Mountain Cir NW","Kennesaw","GA","30152-4635","590","06, 07, 08","","85.4","","","73.9","","","",""
"2025","SCHOOL","6330280","Metro RESA","633","Cobb County","Pine Mountain Middle School","0280","N","M","http://www.cobbk12.org/","678.594.8252","2720 Pine Mountain Cir NW","Kennesaw","GA","30152-4635","543","06, 07, 08","","75.0","","","63.4","","","","29.37"
"2018","SCHOOL","6330281","Metro RESA","633","Cobb County","Dickerson Middle School","0281","N","M","http://www.cobbk12.org/","(770)578-2710","855 Woodlawn Drive","Marietta","GA","30068","1329","06, 07, 08","Greatest Gains (Bronze)","90.9","","","94.4","","","",""
"2019","SCHOOL","6330281","Metro RESA","633","Cobb County","Dickerson Middle School","0281","N","M","http://www.cobbk12.org/","770-578-2710","855 Woodlawn Drive","Marietta","GA","30068","1345","06, 07, 08","Greatest Gains (Bronze)","94.3","","","93.5","","","",""
"2020","SCHOOL","6330281","Metro RESA","633","Cobb County","Dickerson Middle School","0281","N","M","http://www.cobbk12.org/","770-578-2710","855 Woodlawn Drive","Marietta","GA","30068","1331","06, 07, 08","","","","","","","","",""
"2021","SCHOOL","6330281","Metro RESA","633","Cobb County","Dickerson Middle School","0281","N","M","http://www.cobbk12.org/","770-578-2710","855 Woodlawn Drive","Marietta","GA","30068","1324","06, 07, 08","","","","","82.9","","","",""
"2022","SCHOOL","6330281","Metro RESA","633","Cobb County","Dickerson Middle School","0281","N","M","http://www.cobbk12.org/","770.578.2710","855 Woodlawn Dr NE","Marietta","GA","30068-4256","1255","06, 07, 08","","","","","88.9","","","",""
"2023","SCHOOL","6330281","Metro RESA","633","Cobb County","Dickerson Middle School","0281","N","M","http://www.cobbk12.org/","770.578.2710","855 Woodlawn Dr NE","Marietta","GA","30068-4256","1253","06, 07, 08","","98.4","","","89","","","",""
"2024","SCHOOL","6330281","Metro RESA","633","Cobb County","Dickerson Middle School","0281","N","M","http://www.cobbk12.org/","770.578.2710","855 Woodlawn Dr NE","Marietta","GA","30068-4256","1257","06, 07, 08","","96.5","","","89.2","","","",""
"2025","SCHOOL","6330281","Metro RESA","633","Cobb County","Dickerson Middle School","0281","N","M","http://www.cobbk12.org/","770.578.2710","855 Woodlawn Dr NE","Marietta","GA","30068-4256","1265","06, 07, 08","","97.2","","","85.1","","","","18.56"
"2018","SCHOOL","6330287","Metro RESA","633","Cobb County","Lewis Elementary School","0287","N","E","http://www.cobbk12.org/","(770)975-6673","4179 Jim Owens Rd NW","Kennesaw","GA","30152","572","PK, KK, 01, 02, 03, 04, 05","","84.6","56.3","65.7","","","","",""
"2019","SCHOOL","6330287","Metro RESA","633","Cobb County","Lewis Elementary School","0287","N","E","http://www.cobbk12.org/","770-975-6673","4179 Jim Owens Road","Kennesaw","GA","30152","568","PK, KK, 01, 02, 03, 04, 05","","78.4","45.7","72.3","","","","",""
"2020","SCHOOL","6330287","Metro RESA","633","Cobb County","Lewis Elementary School","0287","N","E","http://www.cobbk12.org/","770-975-6673","4179 Jim Owens Road","Kennesaw","GA","30152","573","PK, KK, 01, 02, 03, 04, 05","","","","","","","","",""
"2021","SCHOOL","6330287","Metro RESA","633","Cobb County","Lewis Elementary School","0287","N","E","http://www.cobbk12.org/","770-975-6673","4179 Jim Owens Road","Kennesaw","GA","30152","581","PK, KK, 01, 02, 03, 04, 05","","","40.6","58.5","","","","",""
"2022","SCHOOL","6330287","Metro RESA","633","Cobb County","Lewis Elementary School","0287","N","E","http://www.cobbk12.org/","770.975.6673","4179 Jim Owens Rd NW","Kennesaw","GA","30152-2329","562","PK, KK, 01, 02, 03, 04, 05","","","51.1","69.4","","","","",""
"2023","SCHOOL","6330287","Metro RESA","633","Cobb County","Lewis Elementary School","0287","N","E","http://www.cobbk12.org/","770.975.6673","4179 Jim Owens Rd NW","Kennesaw","GA","30152-2329","559","PK, KK, 01, 02, 03, 04, 05","","80.0","54.4","63.2","","","","",""
"2024","SCHOOL","6330287","Metro RESA","633","Cobb County","Lewis Elementary School","0287","N","E","http://www.cobbk12.org/","770.975.6673","4179 Jim Owens Rd NW","Kennesaw","GA","30152-2329","602","PK, KK, 01, 02, 03, 04, 05","","83.5","50.5","67.3","","","","",""
"2025","SCHOOL","6330287","Metro RESA","633","Cobb County","Lewis Elementary School","0287","N","E","http://www.cobbk12.org/","770.975.6673","4179 Jim Owens Rd NW","Kennesaw","GA","30152-2329","582","PK, KK, 01, 02, 03, 04, 05","","81.5","53.3","67.7","","","","",""
"2018","SCHOOL","6330288","Metro RESA","633","Cobb County","Mountain View Elementary School","0288","N","E","http://www.cobbk12.org/","(770)578-7265","3448 Sandy Plains Rd","Marietta","GA","30066","761","PK, KK, 01, 02, 03, 04, 05","","91.9","73.6","87.9","","","","",""
"2019","SCHOOL","6330288","Metro RESA","633","Cobb County","Mountain View Elementary School","0288","N","E","http://www.cobbk12.org/","770-578-7265","3151 Sandy Plains Road","Marietta","GA","30066","859","PK, KK, 01, 02, 03, 04, 05","Greatest Gains (Gold)/Highest Performing (Gold)","98.6","79.3","87.6","","","","",""
"2020","SCHOOL","6330288","Metro RESA","633","Cobb County","Mountain View Elementary School","0288","N","E","http://www.cobbk12.org/","770-578-7265","3151 Sandy Plains Road","Marietta","GA","30066","848","PK, KK, 01, 02, 03, 04, 05","","","","","","","","",""
"2021","SCHOOL","6330288","Metro RESA","633","Cobb County","Mountain View Elementary School","0288","N","E","http://www.cobbk12.org/","770-578-7265","3151 Sandy Plains Road","Marietta","GA","30066","804","PK, KK, 01, 02, 03, 04, 05","","","80.6","82.4","","","","",""
"2022","SCHOOL","6330288","Metro RESA","633","Cobb County","Mountain View Elementary School","0288","N","E","http://www.cobbk12.org/","770.578.7265","3448 Sandy Plains Rd","Marietta","GA","30066-4745","790","PK, KK, 01, 02, 03, 04, 05","","","80.9","91.5","","","","",""
"2023","SCHOOL","6330288","Metro RESA","633","Cobb County","Mountain View Elementary School","0288","N","E","http://www.cobbk12.org/","770.578.7265","3448 Sandy Plains Rd","Marietta","GA","30066-4745","869","PK, KK, 01, 02, 03, 04, 05","","94.8","79","87.4","","","","",""
"2024","SCHOOL","6330288","Metro RESA","633","Cobb County","Mountain View Elementary School","0288","N","E","http://www.cobbk12.org/","770.578.7265","3151 Sandy Plains Rd","Marietta","GA","30066-4731","851","PK, KK, 01, 02, 03, 04, 05","","98.1","77.6","88.4","","","","",""
"2025","SCHOOL","6330288","Metro RESA","633","Cobb County","Mountain View Elementary School","0288","N","E","http://www.cobbk12.org/","770.578.7265","3151 Sandy Plains Rd","Marietta","GA","30066-4745","854","PK, KK, 01, 02, 03, 04, 05","","97.0","66.7","85.6","","","","",""
"2018","SCHOOL","6330289","Metro RESA","633","Cobb County","Addison Elementary School","0289","N","E","http://www.cobbk12.org/","(770)578-2700","3055 Ebenezer Road","Marietta","GA","30066","664","PK, KK, 01, 02, 03, 04, 05","Greatest Gains (Silver)","83.2","63.2","73","","","","",""
"2019","SCHOOL","6330289","Metro RESA","633","Cobb County","Addison Elementary School","0289","N","E","http://www.cobbk12.org/","770-578-2700","3055 Ebenezer Road","Marietta","GA","30066","622","PK, KK, 01, 02, 03, 04, 05","","88.7","61.8","82","","","","",""
"2020","SCHOOL","6330289","Metro RESA","633","Cobb County","Addison Elementary School","0289","N","E","http://www.cobbk12.org/","770-578-2700","3055 Ebenezer Road","Marietta","GA","30066","657","PK, KK, 01, 02, 03, 04, 05","","","","","","","","",""
"2021","SCHOOL","6330289","Metro RESA","633","Cobb County","Addison Elementary School","0289","N","E","http://www.cobbk12.org/","770-578-2700","3055 Ebenezer Road","Marietta","GA","30066","626","PK, KK, 01, 02, 03, 04, 05","","","57.4","67.1","","","","",""
"2022","SCHOOL","6330289","Metro RESA","633","Cobb County","Addison Elementary School","0289","N","E","http://www.cobbk12.org/","770.578.2700","3055 Ebenezer Rd","Marietta","GA","30066-4542","643","PK, KK, 01, 02, 03, 04, 05","","","58.4","62.2","","","","",""
"2023","SCHOOL","6330289","Metro RESA","633","Cobb County","Addison Elementary School","0289","N","E","http://www.cobbk12.org/","770.578.2700","3055 Ebenezer Rd","Marietta","GA","30066-4542","612","PK, KK, 01, 02, 03, 04, 05","","87.9","57.5","71.4","","","","",""
"2024","SCHOOL","6330289","Metro RESA","633","Cobb County","Addison Elementary School","0289","N","E","http://www.cobbk12.org/","770.578.2700","3055 Ebenezer Rd","Marietta","GA","30066-4542","589","PK, KK, 01, 02, 03, 04, 05","","88.7","67.7","72.2","","","","",""
"2025","SCHOOL","6330289","Metro RESA","633","Cobb County","Addison Elementary School","0289","N","E","http://www.cobbk12.org/","770.578.2700","3055 Ebenezer Rd","Marietta","GA","30066-4542","577","PK, KK, 01, 02, 03, 04, 05","","81.6","61.3","63.5","","","","",""
"2018","SCHOOL","6330290","Metro RESA","633","Cobb County","Campbell Middle School","0290","N","M","http://www.cobbk12.org/","(678)842-6873","3295 Atlanta Rd SE","Smyrna","GA","30080","1659","06, 07, 08","","71.1","","","66","","","",""
"2019","SCHOOL","6330290","Metro RESA","633","Cobb County","Campbell Middle School","0290","N","M","http://www.cobbk12.org/","678-842-6873","3295 Atlanta Road","Smyrna","GA","30080","1752","06, 07, 08","","72.1","","","69.4","","","",""
"2020","SCHOOL","6330290","Metro RESA","633","Cobb County","Campbell Middle School","0290","N","M","http://www.cobbk12.org/","678-842-6873","3295 Atlanta Road","Smyrna","GA","30080","1809","06, 07, 08","","","","","","","","",""
"2021","SCHOOL","6330290","Metro RESA","633","Cobb County","Campbell Middle School","0290","N","M","http://www.cobbk12.org/","678-842-6873","3295 Atlanta Road","Smyrna","GA","30080","1769","06, 07, 08","","","","","41.1","","","",""
"2022","SCHOOL","6330290","Metro RESA","633","Cobb County","Campbell Middle School","0290","N","M","http://www.cobbk12.org/","678.842.6873","3295 Atlanta Rd SE","Smyrna","GA","30080-8258","1336","06, 07, 08","","","","","63.1","","","",""
"2023","SCHOOL","6330290","Metro RESA","633","Cobb County","Campbell Middle School","0290","N","M","http://www.cobbk12.org/","678.842.6873","3295 Atlanta Rd SE","Smyrna","GA","30080-8258","1372","06, 07, 08","","72.1","","","60.6","","","",""
"2024","SCHOOL","6330290","Metro RESA","633","Cobb County","Campbell Middle School","0290","N","M","http://www.cobbk12.org/","678.842.6873","3295 Atlanta Rd SE","Smyrna","GA","30080-8258","1395","06, 07, 08","","79.3","","","67","","","",""
"2025","SCHOOL","6330290","Metro RESA","633","Cobb County","Campbell Middle School","0290","N","M","http://www.cobbk12.org/","678.842.6873","3295 Atlanta Rd SE","Smyrna","GA","30080-8258","1513","06, 07, 08","","70.3","","","56","","","","41.67"
"2018","SCHOOL","6330291","Metro RESA","633","Cobb County","Shallowford Falls Elementary School","0291","N","E","http://www.cobbk12.org/","(770)642-5610","3529 Lassiter Rd","Marietta","GA","30062","693","PK, KK, 01, 02, 03, 04, 05","","83.7","86.7","80.7","","","","",""
"2019","SCHOOL","6330291","Metro RESA","633","Cobb County","Shallowford Falls Elementary School","0291","N","E","http://www.cobbk12.org/","770-642-5610","3529 Lassiter Road","Marietta","GA","30062","706","PK, KK, 01, 02, 03, 04, 05","","94.7","80.2","87.9","","","","",""
"2020","SCHOOL","6330291","Metro RESA","633","Cobb County","Shallowford Falls Elementary School","0291","N","E","http://www.cobbk12.org/","770-642-5610","3529 Lassiter Road","Marietta","GA","30062","670","PK, KK, 01, 02, 03, 04, 05","","","","","","","","",""
"2021","SCHOOL","6330291","Metro RESA","633","Cobb County","Shallowford Falls Elementary School","0291","N","E","http://www.cobbk12.org/","770-642-5610","3529 Lassiter Road","Marietta","GA","30062","604","PK, KK, 01, 02, 03, 04, 05","","","75.4","87.7","","","","",""
"2022","SCHOOL","6330291","Metro RESA","633","Cobb County","Shallowford Falls Elementary School","0291","N","E","http://www.cobbk12.org/","770.642.5610","3529 Lassiter Rd","Marietta","GA","30062-4116","632","PK, KK, 01, 02, 03, 04, 05","","","74.5","89.9","","","","",""
"2023","SCHOOL","6330291","Metro RESA","633","Cobb County","Shallowford Falls Elementary School","0291","N","E","http://www.cobbk12.org/","770.642.5610","3529 Lassiter Rd","Marietta","GA","30062-4116","615","PK, KK, 01, 02, 03, 04, 05","","87.5","83.3","83.1","","","","",""
"2024","SCHOOL","6330291","Metro RESA","633","Cobb County","Shallowford Falls Elementary School","0291","N","E","http://www.cobbk12.org/","770.642.5610","3529 Lassiter Rd","Marietta","GA","30062-4116","600","PK, KK, 01, 02, 03, 04, 05","","90.0","73.1","84.6","","","","",""
"2025","SCHOOL","6330291","Metro RESA","633","Cobb County","Shallowford Falls Elementary School","0291","N","E","http://www.cobbk12.org/","770.642.5610","3529 Lassiter Rd","Marietta","GA","30062-4116","590","PK, KK, 01, 02, 03, 04, 05","","82.8","73.3","74","","","","",""
"2018","SCHOOL","6330292","Metro RESA","633","Cobb County","Ford Elementary School","0292","N","E","http://www.cobbk12.org/","(678)594-8092","1345 Mars Hill Rd NW","Acworth","GA","30101","858","PK, KK, 01, 02, 03, 04, 05","","81.0","75.4","84.6","","","","",""
"2019","SCHOOL","6330292","Metro RESA","633","Cobb County","Ford Elementary School","0292","N","E","http://www.cobbk12.org/","678-594-8092","1345 Mars Hill Road","Acworth","GA","30101","861","PK, KK, 01, 02, 03, 04, 05","","92.2","74.5","89.9","","","","",""
"2020","SCHOOL","6330292","Metro RESA","633","Cobb County","Ford Elementary School","0292","N","E","http://www.cobbk12.org/","678-594-8092","1345 Mars Hill Road","Acworth","GA","30101","910","PK, KK, 01, 02, 03, 04, 05","","","","","","","","",""
"2021","SCHOOL","6330292","Metro RESA","633","Cobb County","Ford Elementary School","0292","N","E","http://www.cobbk12.org/","678-594-8092","1345 Mars Hill Road","Acworth","GA","30101","835","PK, KK, 01, 02, 03, 04, 05","","","65.1","78.5","","","","",""
"2022","SCHOOL","6330292","Metro RESA","633","Cobb County","Ford Elementary School","0292","N","E","http://www.cobbk12.org/","678.594.8092","1345 Mars Hill Rd NW","Acworth","GA","30101-4632","811","PK, KK, 01, 02, 03, 04, 05","","","66.7","79.7","","","","",""
"2023","SCHOOL","6330292","Metro RESA","633","Cobb County","Ford Elementary School","0292","N","E","http://www.cobbk12.org/","678.594.8092","1345 Mars Hill Rd NW","Acworth","GA","30101-4632","770","PK, KK, 01, 02, 03, 04, 05","","78.8","69.9","72.6","","","","",""
"2024","SCHOOL","6330292","Metro RESA","633","Cobb County","Ford Elementary School","0292","N","E","http://www.cobbk12.org/","678.594.8092","1345 Mars Hill Rd NW","Acworth","GA","30101-4632","751","PK, KK, 01, 02, 03, 04, 05","","91.1","59.2","76","","","","",""
"2025","SCHOOL","6330292","Metro RESA","633","Cobb County","Ford Elementary School","0292","N","E","http://www.cobbk12.org/","678.594.8092","1345 Mars Hill Rd NW","Acworth","GA","30101-4632","750","PK, KK, 01, 02, 03, 04, 05","","77.0","63.1","70.7","","","","",""
"2018","SCHOOL","6330294","Metro RESA","633","Cobb County","Smitha Middle School","0294","N","M","http://www.cobbk12.org/","(678)594-8267","514 Glover Street","Marietta","GA","30060","1129","06, 07, 08","","72.6","","","59.3","","","",""
"2019","SCHOOL","6330294","Metro RESA","633","Cobb County","Smitha Middle School","0294","N","M","http://www.cobbk12.org/","678-594-8267","2025 Powder Springs Road","Marietta","GA","30064","1154","06, 07, 08","","79.8","","","64.8","","","",""
"2020","SCHOOL","6330294","Metro RESA","633","Cobb County","Smitha Middle School","0294","N","M","http://www.cobbk12.org/","678-594-8267","2025 Powder Springs Road","Marietta","GA","30064","1156","06, 07, 08","","","","","","","","",""
"2021","SCHOOL","6330294","Metro RESA","633","Cobb County","Smitha Middle School","0294","N","M","http://www.cobbk12.org/","678-594-8267","2025 Powder Springs Road","Marietta","GA","30064","1078","06, 07, 08","","","","","52.6","","","",""
"2022","SCHOOL","6330294","Metro RESA","633","Cobb County","Smitha Middle School","0294","N","M","http://www.cobbk12.org/","678.594.8267","2025 Powder Springs Rd SW","Marietta","GA","30064-4325","1040","06, 07, 08","","","","","50.8","","","",""
"2023","SCHOOL","6330294","Metro RESA","633","Cobb County","Smitha Middle School","0294","N","M","http://www.cobbk12.org/","678.594.8267","2025 Powder Springs Rd SW","Marietta","GA","30064-4325","998","06, 07, 08","","65.2","","","54.1","","","",""
"2024","SCHOOL","6330294","Metro RESA","633","Cobb County","Smitha Middle School","0294","N","M","http://www.cobbk12.org/","678.594.8267","2025 Powder Springs Rd SW","Marietta","GA","30064-4325","978","06, 07, 08","","75.6","","","59.9","","","",""
"2025","SCHOOL","6330294","Metro RESA","633","Cobb County","Smitha Middle School","0294","N","M","http://www.cobbk12.org/","678.594.8267","2025 Powder Springs Rd SW","Marietta","GA","30064-4325","960","06, 07, 08","","70.1","","","42.2","","","","44.78"
"2018","SCHOOL","6330297","Metro RESA","633","Cobb County","Frey Elementary School","0297","N","E","http://www.cobbk12.org/","(770)975-6655","2865 Mars Hill Rd NW","Acworth","GA","30101","805","PK, KK, 01, 02, 03, 04, 05","","89.8","67.1","75.5","","","","",""
"2019","SCHOOL","6330297","Metro RESA","633","Cobb County","Frey Elementary School","0297","N","E","http://www.cobbk12.org/","770-975-6655","2865 Mars Hill Road","Acworth","GA","30101","852","PK, KK, 01, 02, 03, 04, 05","","87.7","69.1","75.5","","","","",""
"2020","SCHOOL","6330297","Metro RESA","633","Cobb County","Frey Elementary School","0297","N","E","http://www.cobbk12.org/","770-975-6655","2865 Mars Hill Road","Acworth","GA","30101","856","PK, KK, 01, 02, 03, 04, 05","","","","","","","","",""
"2021","SCHOOL","6330297","Metro RESA","633","Cobb County","Frey Elementary School","0297","N","E","http://www.cobbk12.org/","770-975-6655","2865 Mars Hill Road","Acworth","GA","30101","781","PK, KK, 01, 02, 03, 04, 05","","","71.6","72.1","","","","",""
"2022","SCHOOL","6330297","Metro RESA","633","Cobb County","Frey Elementary School","0297","N","E","http://www.cobbk12.org/","770.975.6655","2865 Mars Hill Rd NW","Acworth","GA","30101-4538","777","PK, KK, 01, 02, 03, 04, 05","","","64.4","63.6","","","","",""
"2023","SCHOOL","6330297","Metro RESA","633","Cobb County","Frey Elementary School","0297","N","E","http://www.cobbk12.org/","770.975.6655","2865 Mars Hill Rd NW","Acworth","GA","30101-4538","793","PK, KK, 01, 02, 03, 04, 05","","80.2","63.5","76.1","","","","",""
"2024","SCHOOL","6330297","Metro RESA","633","Cobb County","Frey Elementary School","0297","N","E","http://www.cobbk12.org/","770.975.6655","2865 Mars Hill Rd NW","Acworth","GA","30101-4538","765","PK, KK, 01, 02, 03, 04, 05","","82.9","66.7","75.9","","","","",""
"2025","SCHOOL","6330297","Metro RESA","633","Cobb County","Frey Elementary School","0297","N","E","http://www.cobbk12.org/","770.975.6655","2865 Mars Hill Rd NW","Acworth","GA","30101-4538","701","PK, KK, 01, 02, 03, 04, 05","","86.9","53.6","74.8","","","","",""
"2018","SCHOOL","6330298","Metro RESA","633","Cobb County","Cheatham Hill Elementary School","0298","N","E","http://www.cobbk12.org/","(678)594-8034","1350 John Ward Rd SW","Marietta","GA","30064","1167","PK, KK, 01, 02, 03, 04, 05","","81.3","63.6","74.7","","","","",""
"2019","SCHOOL","6330298","Metro RESA","633","Cobb County","Cheatham Hill Elementary School","0298","N","E","http://www.cobbk12.org/","678-594-8034","1350 John Ward Road SW","Marietta","GA","30064","1131","PK, KK, 01, 02, 03, 04, 05","","84.2","60.2","74.2","","","","",""
"2020","SCHOOL","6330298","Metro RESA","633","Cobb County","Cheatham Hill Elementary School","0298","N","E","http://www.cobbk12.org/","678-594-8034","1350 John Ward Road SW","Marietta","GA","30064","1156","PK, KK, 01, 02, 03, 04, 05","","","","","","","","",""
"2021","SCHOOL","6330298","Metro RESA","633","Cobb County","Cheatham Hill Elementary School","0298","N","E","http://www.cobbk12.org/","678-594-8034","1350 John Ward Road SW","Marietta","GA","30064","1070","PK, KK, 01, 02, 03, 04, 05","","","56.7","71.9","","","","",""
"2022","SCHOOL","6330298","Metro RESA","633","Cobb County","Cheatham Hill Elementary School","0298","N","E","http://www.cobbk12.org/","678.594.8034","1350 John Ward Rd SW","Marietta","GA","30064-3816","1073","PK, KK, 01, 02, 03, 04, 05","","","67.7","66.7","","","","",""
"2023","SCHOOL","6330298","Metro RESA","633","Cobb County","Cheatham Hill Elementary School","0298","N","E","http://www.cobbk12.org/","678.594.8034","1350 John Ward Rd SW","Marietta","GA","30064-3816","1072","PK, KK, 01, 02, 03, 04, 05","","81.2","56.6","59.6","","","","",""
"2024","SCHOOL","6330298","Metro RESA","633","Cobb County","Cheatham Hill Elementary School","0298","N","E","http://www.cobbk12.org/","678.594.8034","1350 John Ward Rd SW","Marietta","GA","30064-3816","1043","PK, KK, 01, 02, 03, 04, 05","","87.3","52.5","75.4","","","","",""
"2025","SCHOOL","6330298","Metro RESA","633","Cobb County","Cheatham Hill Elementary School","0298","N","E","http://www.cobbk12.org/","678.594.8034","1350 John Ward Rd SW","Marietta","GA","30064-3816","1057","PK, KK, 01, 02, 03, 04, 05","","74.8","51.4","60.7","","","","",""
"2018","SCHOOL","6330299","Metro RESA","633","Cobb County","Durham Middle School","0299","N","M","http://www.cobbk12.org/","(770)975-6641","2891 Mars Hill Rd NW","Acworth","GA","30101","1073","06, 07, 08","","84.5","","","89.8","","","",""
"2019","SCHOOL","6330299","Metro RESA","633","Cobb County","Durham Middle School","0299","N","M","http://www.cobbk12.org/","(770) 975-6641","2891 Mars Hill Road","Acworth","GA","30101","1131","06, 07, 08","","87.9","","","88","","","",""
"2020","SCHOOL","6330299","Metro RESA","633","Cobb County","Durham Middle School","0299","N","M","http://www.cobbk12.org/","(770) 975-6641","2891 Mars Hill Road","Acworth","GA","30101","1137","06, 07, 08","","","","","","","","",""
"2021","SCHOOL","6330299","Metro RESA","633","Cobb County","Durham Middle School","0299","N","M","http://www.cobbk12.org/","(770) 975-6641","2891 Mars Hill Road","Acworth","GA","30101","1121","06, 07, 08","","","","","68.7","","","",""
"2022","SCHOOL","6330299","Metro RESA","633","Cobb County","Durham Middle School","0299","N","M","http://www.cobbk12.org/","770.975.6641","2891 Mars Hill Rd NW","Acworth","GA","30101-4538","1039","06, 07, 08","","","","","79.5","","","",""
"2023","SCHOOL","6330299","Metro RESA","633","Cobb County","Durham Middle School","0299","N","M","http://www.cobbk12.org/","770.975.6641","2891 Mars Hill Rd NW","Acworth","GA","30101-4538","1058","06, 07, 08","","86.1","","","81.1","","","",""
"2024","SCHOOL","6330299","Metro RESA","633","Cobb County","Durham Middle School","0299","N","M","http://www.cobbk12.org/","770.975.6641","2891 Mars Hill Rd NW","Acworth","GA","30101-4538","1064","06, 07, 08","","85.7","","","79.7","","","",""
"2025","SCHOOL","6330299","Metro RESA","633","Cobb County","Durham Middle School","0299","N","M","http://www.cobbk12.org/","770.975.6641","2891 Mars Hill Rd NW","Acworth","GA","30101-4538","1014","06, 07, 08","","79.0","","","69","","","","23.72"
"2018","SCHOOL","6330302","Metro RESA","633","Cobb County","Acworth Elementary School","0302","N","E","http://www.cobbk12.org/","(770)975-6600","4220 Cantrell Rd NW","Acworth","GA","30101","749","02, 03, 04, 05","","77.4","49.5","63.5","","","","",""
"2019","SCHOOL","6330302","Metro RESA","633","Cobb County","Acworth Elementary School","0302","N","E","http://www.cobbk12.org/","770-975-6600","4220 Cantrell Road","Acworth","GA","30101","721","02, 03, 04, 05","","75.8","49.7","56","","","","",""
"2020","SCHOOL","6330302","Metro RESA","633","Cobb County","Acworth Intermediate School","0302","N","E","http://www.cobbk12.org/","770-975-6600","4220 Cantrell Road","Acworth","GA","30101","694","02, 03, 04, 05","","","","","","","","",""
"2021","SCHOOL","6330302","Metro RESA","633","Cobb County","Acworth Intermediate School","0302","N","E","http://www.cobbk12.org/","770-975-6600","4220 Cantrell Road","Acworth","GA","30101","622","02, 03, 04, 05","","","34.3","51.2","","","","",""
